questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
"What is the main purpose of RAM?","To temporarily store data and instructions currently in use","To permanently store the operating system","To provide long-term file storage","To process graphics rendering",Easy,1.2,"RAM is volatile memory for active tasks; permanent storage is handled by ROM or secondary storage."
"Which statement about ROM is true?","It is non-volatile and stores firmware (e.g., BIOS)","It is faster than RAM","It stores user files like documents","It loses data when power is turned off",Easy,1.2,"ROM retains data without power and is used for critical system instructions."
"What is virtual memory used for?","To extend RAM capacity by using secondary storage","To increase CPU clock speed","To replace RAM permanently","To store BIOS settings",Medium,1.2,"Virtual memory prevents crashes when RAM is full but slows performance due to disk access."
"Which storage device has no moving parts?","SSD","HDD","CD-ROM","Magnetic tape",Easy,1.2,"SSDs use flash memory and are faster/more durable than HDDs or optical media."
"Convert the binary number 1010 to denary.","10","5","12","8",Medium,1.2,"1010 in binary = (1×8) + (0×4) + (1×2) + (0×1) = 10 in denary."
"What is a key advantage of optical storage (e.g., DVDs)?","Low cost per unit","High read/write speeds","Large storage capacity (compared to SSDs)","Resistance to physical scratches",Medium,1.2,"Optical storage is cheap but has low capacity/speed compared to SSDs/HDDs."
"Which is a characteristic of lossy compression?","Reduces file size by permanently removing data","Retains all original data after decompression","Is ideal for text files","Increases file quality",Hard,1.2,"Lossy compression sacrifices quality for smaller file sizes (e.g., JPEGs/MP3s)."
"What happens in an 8-bit binary overflow?","The result exceeds 255 and is truncated","The result becomes negative","The calculation automatically switches to hexadecimal","The system shuts down",Hard,1.2,"8-bit binary can only represent 0–255; overflow causes data loss."
"Which requires secondary storage?","Storing files when the computer is powered off","Running the operating system","Loading applications into RAM","Caching frequently used data",Easy,1.2,"Secondary storage (e.g., HDDs/SSDs) retains data without power; RAM is volatile."
"How does cache memory improve performance?","By storing frequently accessed data close to the CPU","By replacing RAM entirely","By compressing files automatically","By increasing GPU speed",Medium,1.2,"Cache is faster but smaller than RAM, reducing CPU wait times."
"What is the purpose of primary storage?","To hold data and instructions currently in use","To store files long-term","To cool the CPU","To display graphics on screen",Easy,1.2,"Primary storage (RAM/ROM) is directly accessed by the CPU for active tasks."
"Which is a magnetic storage device?","Hard Disk Drive (HDD)","USB flash drive","Blu-ray disc","SSD",Easy,1.2,"HDDs use magnetic platters; SSDs/USB drives use flash memory; Blu-rays are optical."
"Convert hexadecimal 'A3' to denary.","163","43","10100011","253",Medium,1.2,"A3 in hex = (10×16) + (3×1) = 163 in denary."
"What is the effect of increasing sample rate in audio?","Higher quality but larger file size","Lower quality but smaller file size","No change in quality","Reduces bit depth",Medium,1.2,"Higher sample rate captures more detail but increases file size."
"Which scenario best suits lossless compression?","Archiving legal documents","Streaming music","Storing thumbnail images","Live video broadcasting",Hard,1.2,"Lossless (e.g., ZIP) retains all data, critical for text/legal files."
"Calculate the file size of a 10-second audio clip (44.1 kHz, 16-bit stereo).","1.7 MB","0.8 MB","3.4 MB","44.1 MB",Hard,1.2,"Formula: sample rate × duration × bit depth × channels. 44,100 × 10 × 16 × 2 = 14,112,000 bits ≈ 1.7 MB."
"What is the purpose of ROM in a computer?","To store the BIOS/firmware","To run user applications","To store temporary data","To process graphics",Easy,1.2,"ROM contains essential startup instructions; it is non-volatile."
