questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
What is the main purpose of the CPU?,To execute instructions by performing fetch–decode–execute,To permanently store files,To display graphics on the screen,To provide network access,Easy,1.1,"The CPU runs the fetch–decode–execute cycle to process instructions. Storage, graphics, and networking are handled by other components."
Which stage comes first in the fetch–decode–execute cycle?,Fetch,Decode,Execute,Store,Easy,1.1,"The cycle begins by fetching the next instruction from memory, then decoding it, then executing it; there is no ‘store’ stage in OCR J277’s description."
Which CPU component performs arithmetic and logic operations?,ALU,CU,Cache,Register,Easy,1.1,The ALU carries out arithmetic and logic. The CU coordinates control signals. Cache stores frequently used data. Registers hold tiny amounts of fast data/addresses.
Which CPU component coordinates the activities of the CPU?,Control Unit (CU),ALU,GPU,Power supply,Easy,1.1,The CU issues control signals to manage the fetch–decode–execute cycle. The ALU calculates; the GPU and PSU are not CPU components.
What is the main benefit of CPU cache?,It provides faster access to frequently used data,It increases permanent storage capacity,It cools the processor,It displays error messages,Easy,1.1,"Cache is small, very fast memory close to the CPU to reduce main-memory access time. It is not storage, cooling, or a display feature."
What is a register?,"A very small, very fast storage location inside the CPU",A removable storage device,A background process,A type of software,Easy,1.1,"Registers hold data or addresses during processing. They are hardware locations inside the CPU, not external devices or software."
"In the Von Neumann model, which register holds the address of the next instruction to fetch?",Program Counter (PC),Accumulator,MDR,ALU,Easy,1.1,The PC stores the memory address of the next instruction. The Accumulator stores results; the MDR stores data; the ALU is not a register.
Which register holds the address of the data or instruction to access in memory?,MAR,MDR,PC,Accumulator,Easy,1.1,"The MAR holds addresses. The MDR holds the data itself, the PC holds the next instruction address, and the Accumulator holds results."
Which register holds the actual data just fetched from or to be written to memory?,MDR,MAR,PC,CU,Easy,1.1,The MDR stores data being transferred to/from memory. MAR stores addresses; PC holds the next instruction’s address; CU is not a register.
Which register commonly stores the result of ALU operations?,Accumulator,PC,MAR,MDR,Easy,1.1,The Accumulator holds intermediate results. PC is for next instruction address; MAR and MDR handle addresses and data for memory access.
What does the CPU do during the ‘fetch’ stage?,Gets the next instruction from memory,Sends results to output devices,Checks for viruses,Writes to secondary storage,Easy,1.1,"‘Fetch’ retrieves the instruction from memory via MAR/MDR. Output, security scanning, and secondary storage are unrelated to this stage."
