questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
"What is the primary purpose of a router?","To connect multiple networks (e.g., LAN to Internet)","To connect devices within a LAN","To store website data","To encrypt emails",Easy,1.3,"Routers direct traffic between networks; switches operate within a single LAN."
"Which protocol is used for secure web browsing?","HTTPS","HTTP","FTP","SMTP",Easy,1.3,"HTTPS encrypts data; HTTP sends data in plain text."
"What is the main disadvantage of wireless networks?","Signal interference","Higher cost than wired","Limited to 10 devices","No encryption",Medium,1.3,"Walls/distance weaken Wi-Fi signals; Ethernet (wired) is more reliable."
"Which device assigns IP addresses in a network?","DHCP server","DNS server","Firewall","Switch",Medium,1.3,"DHCP dynamically assigns IPs; DNS translates domain names."
"What is the purpose of a MAC address?","To uniquely identify network hardware","To locate websites","To encrypt data","To increase bandwidth",Easy,1.3,"MAC addresses (e.g., 00-1A-2B-3C-4D) are burned into NICs."
"Which topology is most fault-tolerant?","Mesh","Star","Bus","Ring",Hard,1.3,"Mesh networks have multiple paths; failure of one link doesn’t disconnect devices."
"What does TCP ensure?","Reliable data delivery","Fastest possible speed","Hardware addresses","Wireless encryption",Medium,1.3,"TCP breaks data into packets and reassembles them correctly."
"Which is a benefit of fiber-optic cables?","High bandwidth and low interference","Cheaper than copper cables","No need for routers","Works without electricity",Hard,1.3,"Fiber optics use light, avoiding electrical interference."
"What is the role of a NIC?","To connect a device to a network","To block hackers","To host websites","To assign IP addresses",Easy,1.3,"Network Interface Cards (NICs) enable wired/wireless connections."
"Which protocol retrieves emails from a server?","IMAP","SMTP","HTTP","FTP",Medium,1.3,"IMAP allows email access from multiple devices; SMTP sends emails."
"Why is IPv6 replacing IPv4?","IPv4 addresses are running out","IPv6 is slower","IPv4 is more secure","IPv6 doesn’t support encryption",Hard,1.3,"IPv6 (e.g., 2001:0db8::) provides 340 undecillion addresses vs. IPv4’s 4.3 billion."
"Which is true about client-server networks?","Centralized management and security","Devices share resources equally","No internet needed","Faster than P2P for all tasks",Medium,1.3,"Client-server uses dedicated servers (e.g., for files), simplifying backups."
"What is a WAP’s function?","To enable wireless device connections","To block viruses","To store IP addresses","To encrypt all network traffic",Easy,1.3,"Wireless Access Points (WAPs) create Wi-Fi networks."
"Which factor improves network performance?","Higher bandwidth","More connected devices","Longer cables","Using HTTP instead of HTTPS",Medium,1.3,"Bandwidth = data capacity; more bandwidth = faster transfers."
"What is FTP used for?","Transferring files between computers","Sending emails","Hosting websites","Blocking hackers",Easy,1.3,"FTP uploads/downloads files; HTTP/S handles web pages."
"Which is a cloud computing disadvantage?","Dependence on internet access","Higher cost than local servers","Slower than wired networks","No encryption options",Hard,1.3,"Cloud services (e.g., Google Drive) require internet and may have latency."
"What does POP3 do?","Downloads emails to a local device","Sends emails","Encrypts emails","Blocks spam",Medium,1.3,"POP3 retrieves emails but typically deletes them from the server."
"Which is a wired connection standard?","Ethernet","Bluetooth","4G","Wi-Fi",Easy,1.3,"Ethernet uses cables; Wi-Fi/Bluetooth are wireless."
"What is latency?","Delay in data transmission","Data transfer speed","Network size","Encryption strength",Medium,1.3,"Low latency = faster response times (critical for gaming/video calls)."
"Which protocol ensures data integrity?","TCP","IP","HTTP","DNS",Hard,1.3,"TCP checks for errors and reassembles packets; IP handles addressing."
"What is a DNS server’s purpose?","To translate domain names to IPs","To store emails","To block malware","To provide Wi-Fi",Easy,1.3,"DNS resolves ‘google.com’ to an IP like 172.217.0.0."
"Which is a peer-to-peer network advantage?","No need for dedicated servers","Centralized security","Faster than client-server","Uses less electricity",Medium,1.3,"P2P networks (e.g., BitTorrent) share resources directly but lack central control."
