questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
What is the primary goal of defensive design,To anticipate potential misuse and prevent program failures,To make the code run as fast as possible,To ensure the program has the most advanced graphics,To use the fewest lines of code possible,Easy,2.3,Defensive design aims to create programs that are resilient to errors and unexpected user actions ensuring reliability. The other options are related to efficiency or style not core robustness.
Which of these is an example of anticipating misuse,Checking if an input is a number before using it in a calculation,Using the most efficient sorting algorithm,Adding comments to explain complex code,Using a variable name like x to save time,Easy,2.3,Anticipating misuse involves validating inputs to handle unexpected data gracefully. The other options relate to efficiency maintainability or poor practice not direct anticipation of errors.
What is authentication used for,To verify the identity of a user,To check the speed of an internet connection,To compress data to save space,To translate code into machine language,Easy,2.3,Authentication is a security process that confirms a user is who they claim to be often with a username and password. The other options describe unrelated technical processes.
What is the purpose of input validation,To ensure data entered by a user is sensible and reasonable,To make sure the program is error-free before release,To convert all user input to uppercase letters,To delete any incorrect data from a database,Easy,2.3,Input validation checks data for correctness and appropriateness before processing preventing errors. The other options are incorrect definitions of validation or describe different processes.
Which of these improves code maintainability,Using clear variable names like userAge instead of ua,Writing the entire program in one long function,Using complex clever code to minimize variables,Avoiding comments to keep the code file small,Easy,2.3,Clear naming conventions make code easier to read understand and modify later. The other options would make code harder to maintain and debug.
What is a key benefit of using subprograms proceduresfunctions,They make code more modular and easier to maintain,They always make the program execute faster,They reduce the number of variables needed,They prevent all logic errors from occurring,Easy,2.3,Subprograms break code into manageable reusable sections improving organization and maintainability. While they can sometimes aid performance its not the primary benefit and they do not eliminate logic errors.
When is iterative testing carried out,During development after writing small sections of code,Only after the entire program is completely finished,Once a year during a software audit,Before any code is written during the design phase,Easy,2.3,Iterative testing happens continuously throughout the development process to identify and fix errors early.
When is finalterminal testing carried out,At the end of development on the complete program,After each individual line of code is written,Before the user interface is designed,Only when a critical bug is reported by a user,Easy,2.3,Final testing is performed on the finished product to ensure it meets all requirements and is ready for release.
What is a syntax error,A mistake in the grammar rules of the programming language,A mistake in the programs logic that causes wrong output,A mistake in the programs user interface design,A mistake made when the user enters incorrect data,Easy,2.3,Syntax errors are grammatical mistakes eg missing punctuation wrong keywords that prevent the code from being translatedrun. Logic errors and user input are different concepts.
What is a logic error,An error that causes the program to produce unexpected or incorrect output,An error that prevents the program from running at all,An error in the spelling of a comment,An error that occurs due to a power outage,Easy,2.3,Logic errors are mistakes in the algorithm or reasoning; the program runs but doesnt do what its supposed to. Syntax errors prevent running and comments dont affect execution.
A program requires an age between 18 and 65. What is Normal test data,40,150,-5,Twenty,Easy,2.3,Normal data is valid data that should be accepted without issue. 40 is within the 18-65 range. 150 and -5 are invalid and Twenty is erroneous wrong data type.
A program requires an age between 18 and 65. What is Boundary test data,18,17,66,0,Easy,2.3,Boundary data is valid data at the very edge of acceptance. 18 is the lower boundary. 17 and 66 are invalid and 0 is also invalid.
A program requires an age between 18 and 65. What is Invalid test data,90,18,65,50,Easy,2.3,Invalid data is the correct data type but outside the valid range. 90 is an integer but is too high. 18 65 and 50 are all valid integers.
A program requires an age between 18 and 65. What is Erroneous test data,Old,18,65,100,Easy,2.3,Erroneous data is the wrong data type entirely. Old is a string not an integer. The others are integers though 100 is invalid.
What is the purpose of a test plan,To document what will be tested and the expected outcomes,To list all the syntax errors in the code,To design the user interface for the program,To write the user manual for the software,Easy,2.3,A test plan outlines the test data purpose and expected results for systematic testing. It is not for listing errors design or documentation.
Why is commenting code important,It explains the purpose of code sections to other programmers,It makes the code run faster,It automatically fixes syntax errors,It is required for the program to compile,Easy,2.3,Comments improve code maintainability by providing explanation and context for humans reading the code. They do not affect how the code runs.
What does input validation help to prevent,Program crashes caused by unexpected input,The program from running too slowly,The need for authentication,The program from being copied,Easy,2.3,Input validation ensures data is appropriate before use preventing errors and crashes. It is unrelated to speed authentication or copyright.
What is a strong password an example of,Good authentication practice,A efficient algorithm,A useful variable name,A type of boundary value,Easy,2.3,A strong password is a key part of authentication making it harder for unauthorized users to gain access. It is not related to algorithms variables or testing.
If a login system asks for a username and password what is this process called,Authentication,Validation,Verification,Compilation,Easy,2.3,Authentication is the process of verifying a users identity. Validation checks data verification is a more general term for checking and compilation is translating code.
What is the main purpose of testing,To find and fix errors in the program,To make the program have more features,To make the program code shorter,To choose the color scheme for the interface,Easy,2.3,The primary goal of testing is to identify bugs errors and missing requirements to ensure the software is correct and reliable.
A field must contain a percentage 0-100. What is normal data,50,150,-10,One Hundred,Medium,2.3,Normal data is valid standard input. 50 is a valid percentage. 150 and -10 are invalid and One Hundred is erroneous.
A field must contain a percentage 0-100. What is boundary data,100,101,99,-1,Medium,2.3,Boundary data is at the extreme valid limits. 100 is the upper boundary. 101 is invalid 99 is valid but not a boundary and -1 is invalid.
