questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
"What is a variable in programming?","A named storage location whose value can change","A fixed value","A type of loop","A conditional statement",Easy,2.2,"Variables store data that can be modified during program execution (e.g., score = 10)."
"What is a constant?","A named storage location with a fixed value","A changing value","A type of loop","A conditional statement",Easy,2.2,"Constants store values that remain unchanged (e.g., PI = 3.14)."
"What is the assignment operator?","= (equals)","== (double equals)","+ (plus)","- (minus)",Easy,2.2,"The assignment operator (=) assigns a value to a variable (e.g., x = 5)."
"What is sequence in programming?","Executing statements in order","Making decisions","Repeating code","Storing data",Easy,2.2,"Sequence is the default top-down execution of instructions."
"What is selection?","Making decisions using conditions (e.g., IF statements)","Repeating code","Storing values","Reading input",Easy,2.2,"Selection allows different code paths based on conditions (e.g., IF age >= 18)."
"What is iteration?","Repeating code using loops","Assigning values","Declaring variables","Writing output",Easy,2.2,"Iteration repeats code blocks (e.g., FOR loops for counting, WHILE for conditions)."
"What is an integer data type?","Whole numbers (e.g., 5, -10, 0)","Decimal numbers","True/False values","Text",Easy,2.2,"Integers represent whole numbers without fractions."
"What is a real data type?","Decimal numbers (e.g., 3.14, -0.5)","Whole numbers","True/False values","Text",Easy,2.2,"Real numbers (floats) represent values with decimal points."
"What is a Boolean data type?","True or False values","Whole numbers","Decimal numbers","Text",Easy,2.2,"Booleans represent logical values (e.g., is_valid = True)."
"What is a string data type?","Sequence of characters (e.g., 'hello')","Whole numbers","Decimal numbers","True/False values",Easy,2.2,"Strings store text enclosed in quotes (e.g., name = 'Alice')."
"What is the + operator used for?","Addition or string concatenation","Subtraction","Multiplication","Division",Easy,2.2,"+ adds numbers or joins strings (e.g., 3+5=8, 'hello'+'world'='helloworld')."
"What is the == operator?","Equality comparison","Assignment","Addition","Subtraction",Easy,2.2,"== checks if two values are equal (e.g., x == 5 returns True if x is 5)."
"What does the != operator do?","Not equal comparison","Assignment","Addition","Multiplication",Easy,2.2,"!= returns True if values are not equal (e.g., x != 0)."
