questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
"What is malware?","Malicious software designed to harm devices or steal data","A type of firewall","A network protocol","A hardware component",Easy,1.4,"Malware includes viruses, ransomware, and spyware that damage systems or data."
"Which is an example of social engineering?","Phishing emails pretending to be from a bank","A computer virus","A firewall blocking traffic","Encrypting files",Easy,1.4,"Social engineering exploits human trust (e.g., phishing, baiting)."
"What is a brute-force attack?","Trying all possible password combinations","Intercepting network data","Sending spam emails","Encrypting files for ransom",Easy,1.4,"Brute-force attacks use trial-and-error to crack passwords."
"How does a firewall enhance security?","By blocking unauthorized network access","By encrypting all data","By removing malware","By increasing internet speed",Easy,1.4,"Firewalls filter incoming/outgoing traffic based on security rules."
"What is the purpose of encryption?","To scramble data so only authorized users can read it","To speed up data transfer","To block all network traffic","To physically secure devices",Easy,1.4,"Encryption (e.g., AES, SSL) protects sensitive data from interception."
"Which attack overwhelms a server with traffic?","Denial of Service (DoS)","Phishing","Brute-force","SQL injection",Easy,1.4,"DoS attacks flood systems with requests, making them unavailable."
"What does anti-malware software do?","Detects and removes malicious software","Blocks all internet access","Encrypts files automatically","Speeds up network performance",Easy,1.4,"Anti-malware scans for viruses, spyware, and other threats."
"Why are user access levels important?","They limit what users can do based on permissions","They encrypt all user data","They prevent all cyberattacks","They increase network speed",Easy,1.4,"Access controls (e.g., admin vs. guest) reduce insider threats."
"What is phishing?","Fake emails/messages tricking users into revealing data","A type of malware","A hardware failure","A network protocol",Easy,1.4,"Phishing scams often impersonate trusted organizations."
"How can strong passwords prevent attacks?","By making brute-force attacks harder","By encrypting all data","By blocking all network traffic","By removing malware automatically",Easy,1.4,"Complex passwords (e.g., 12+ characters, mixed symbols) are harder to crack."
"What is data interception?","Unauthorized access to data during transmission","Deleting files accidentally","A type of malware","A hardware failure",Medium,1.4,"Data interception (e.g., man-in-the-middle attacks) exploits unencrypted networks."
"What is penetration testing?","Simulating cyberattacks to find vulnerabilities","Installing malware intentionally","Blocking all network traffic","Encrypting all user data",Medium,1.4,"Penetration tests identify security gaps before hackers exploit them."
"How does SQL injection work?","By inserting malicious code into databases via input fields","By overwhelming a server with traffic","By intercepting network packets","By encrypting files for ransom",Medium,1.4,"SQL injection exploits poor input validation to manipulate databases."
"Why is physical security important?","To prevent unauthorized access to hardware","To encrypt network traffic","To block malware","To speed up internet connections",Medium,1.4,"Locks, biometric scanners, and CCTV protect devices from theft/tampering."
"What is two-factor authentication (2FA)?","Requiring two forms of ID to log in","A type of malware","A network protocol","A brute-force attack method",Medium,1.4,"2FA (e.g., password + SMS code) adds an extra security layer."
"How does encryption prevent data theft?","By making intercepted data unreadable without a key","By blocking all network traffic","By removing malware","By increasing password strength",Medium,1.4,"Encryption ensures only authorized parties can decrypt data."
"What is a key difference between phishing and malware?","Phishing tricks users; malware infects systems","Phishing is a hardware issue","Malware only targets networks","Phishing encrypts data",Medium,1.4,"Phishing relies on deception; malware executes malicious code."
"Why update software regularly?","To patch security vulnerabilities","To increase hardware speed","To block all internet traffic","To remove encryption",Medium,1.4,"Updates fix bugs/holes that hackers could exploit."
