questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
"What is computational thinking?","A problem-solving method used in computer science","A type of programming language","A hardware component","An internet protocol",Easy,2.1,"Computational thinking involves abstraction, decomposition, and algorithmic thinking to solve problems."
"What is abstraction?","Removing unnecessary details to focus on essentials","Writing code quickly","Building computers","Designing websites",Easy,2.1,"Abstraction simplifies problems by ignoring irrelevant details (e.g., using maps instead of full geography)."
"What is decomposition?","Breaking a problem into smaller, manageable parts","Combining multiple programs","Deleting code","Speeding up computers",Easy,2.1,"Decomposition divides complex problems into sub-problems (e.g., breaking a game into levels, characters, and rules)."
"What is algorithmic thinking?","Creating step-by-step instructions to solve problems","Designing computer hardware","Building networks","Writing essays",Easy,2.1,"Algorithmic thinking involves designing sequences of steps to achieve goals (e.g., recipes or directions)."
"What is an algorithm?","A set of step-by-step instructions to solve a problem","A computer brand","A type of software","An internet connection",Easy,2.1,"Algorithms are precise procedures used in programming and daily life (e.g., sorting data)."
"What is pseudocode?","A simplified way to describe algorithms using natural language","A programming language","A type of computer","A flowchart symbol",Easy,2.1,"Pseudocode helps plan programs without strict syntax rules."
"What is a flowchart?","A diagram showing steps in a process using symbols","A type of graph","A computer program","A sorting algorithm",Easy,2.1,"Flowcharts use shapes like rectangles (process) and diamonds (decisions) to visualize algorithms."
"What is a trace table?","A tool to track variable values during algorithm execution","A database table","A type of hardware","A network diagram",Easy,2.1,"Trace tables help debug algorithms by recording changes step-by-step."
"What is linear search?","Checking each item in a list until target is found","A sorting algorithm","A type of graph","A programming language",Easy,2.1,"Linear search is simple but slow for large lists (O(n) time complexity)."
"What is binary search?","Efficiently finding an item in a sorted list by repeatedly halving the search interval","A sorting algorithm","A way to design flowcharts","A type of variable",Easy,2.1,"Binary search requires a sorted list and has O(log n) time complexity."
"What is bubble sort?","A sorting algorithm that repeatedly swaps adjacent elements if in wrong order","A searching algorithm","A type of loop","A flowchart symbol",Easy,2.1,"Bubble sort is simple but inefficient (O(n²) for large lists."
"What is insertion sort?","Building a sorted list one item at a time by inserting each in correct position","A searching algorithm","A type of variable","A decision symbol",Easy,2.1,"Insertion sort is efficient for small or nearly sorted lists (O(n²) worst-case)."
"What is merge sort?","A divide-and-conquer sorting algorithm that splits lists, sorts, and merges them","A searching algorithm","A type of loop","A programming language",Easy,2.1,"Merge sort has O(n log n) time complexity and is efficient for large lists."
"What is an input in an algorithm?","Data provided to the algorithm","The final result","A step in the process","A type of error",Medium,2.1,"Inputs are the initial data the algorithm processes (e.g., numbers to sort)."
"What is an output in an algorithm?","The result produced by the algorithm","The data given to it","A middle step","A type of variable",Medium,2.1,"Outputs are the solutions or results (e.g., a sorted list)."
"What is a process in an algorithm?","An action performed on data","The input data","The output data","A type of error",Medium,2.1,"Processes are the steps that transform inputs into outputs (e.g., comparing or swapping values)."
"What is a structure diagram?","A tool to decompose a problem into sub-tasks","A sorting algorithm","A type of graph","A trace table",Medium,2.1,"Structure diagrams break down problems hierarchically (e.g., top-down design)."
"What is a syntax error?","A mistake in code structure (e.g., missing punctuation)","A logical mistake in algorithm","A hardware fault","A network issue",Medium,2.1,"Syntax errors prevent code from running (e.g., missing semicolon in Python)."
"What is a logic error?","A mistake where code runs but produces wrong results","A typo in code","A missing file","A slow computer",Medium,2.1,"Logic errors are bugs in algorithm design (e.g., incorrect formula)."
"What is nesting in programming?","Placing structures like loops inside other structures","Writing comments","Naming variables","Drawing flowcharts",Medium,2.1,"Nesting allows complex control flows (e.g., a loop inside an if statement)."
"What is a precondition for binary search?","The list must be sorted","The list must be small","The list must be unsorted","The list must have duplicates",Medium,2.1,"Binary search requires sorted data to correctly halve the search interval."
"What is the time complexity of linear search?","O(n)","O(1)","O(log n)","O(n²)",Medium,2.1,"Linear search checks each element once in worst-case, scaling linearly with list size."
